id,subfolder,target,pa_nmod
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4335,1765,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4401,1765,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4442,1765,['air/N'],attraction/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4476,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4623,1765,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4965,1765,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/5040,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/5068,1765,['air/N'],attraction/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/5255,1765,['air/N'],water/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/6421,1765,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/6983,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/7598,1765,['air/N'],water/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/8351,1765,['air/N'],power/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/9989,1765,['air/N'],circulation/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/10128,1765,['air/N'],circulation/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/10277,1765,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/10324,1765,['air/N'],power/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/28,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/74,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/132,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/380,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/413,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/423,1765,['air/N'],water/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/433,1765,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/767,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/1169,1765,['air/N'],nature/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/1269,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/1494,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/1550,1765,['air/N'],mixture/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/1619,1765,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/1867,1765,['air/N'],region/N
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/3166,1765,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_105466_1765.txt/983,1765,['air/N'],expansion/N
air/Royal_Society_Corpus_open_v6.0_text_105466_1765.txt/1136,1765,['air/N'],expansion/N
air/Royal_Society_Corpus_open_v6.0_text_105758_1768.txt/184,1765,['air/N'],plate/N
air/Royal_Society_Corpus_open_v6.0_text_105759_1768.txt/668,1765,['air/N'],stream/N
air/Royal_Society_Corpus_open_v6.0_text_105970_1767.txt/1053,1765,['air/N'],conductor/N
air/Royal_Society_Corpus_open_v6.0_text_105970_1767.txt/1095,1765,['air/N'],state/N
air/Royal_Society_Corpus_open_v6.0_text_105816_1769.txt/1395,1765,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105438_1765.txt/5740,1765,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105438_1765.txt/8847,1765,['air/N'],contact/N
air/Royal_Society_Corpus_open_v6.0_text_105438_1765.txt/8880,1765,['air/N'],contact/N
air/Royal_Society_Corpus_open_v6.0_text_105438_1765.txt/8981,1765,['air/N'],contact/N
air/Royal_Society_Corpus_open_v6.0_text_105438_1765.txt/9143,1765,['air/N'],surface/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/413,1765,['air/N'],kind/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/1052,1765,['air/N'],communication/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/1369,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/1449,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/1702,1765,['air/N'],any/D
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/1744,1765,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/2006,1765,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/2217,1765,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/3152,1765,['air/N'],communication/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/3307,1765,['air/N'],force/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/3353,1765,['air/N'],much/A
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/3426,1765,['air/N'],contact/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/3743,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4087,1765,['air/N'],bulk/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4159,1765,['air/N'],inch/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4188,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4209,1765,['air/N'],bulk/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4296,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4351,1765,['air/N'],proportion/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/4953,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/5022,1765,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/5098,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/5335,1765,['air/N'],parcel/N
air/Royal_Society_Corpus_open_v6.0_text_105462_1765.txt/7229,1765,['air/N'],kind/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/54,1765,['air/N'],experiment/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/76,1765,['air/N'],kind/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/122,1765,['air/N'],species/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/186,1765,['air/N'],sort/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/383,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/1086,1765,['air/N'],measure/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/1135,1765,['air/N'],measure/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/1169,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/1311,1765,['air/N'],measure/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/1830,1765,['air/N'],kind/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/2070,1765,['air/N'],mixture/N
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/2119,1765,['air/N'],some/D
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/2354,1765,['air/N'],part/N
